Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Tschechien;Solar;1077249.5726424633;1206543.0751531199;1346072.8039832357;1496539.1480084807;1658686.9444262919;1833308.1726158627;2010738.3915425364;2201328.3619303373;2405950.4833780634;2625531.496065736;2861055.733813729;3082664.231816456;3319280.940284922;3571852.6590206926;3841383.3472793284;4128937.4727162765;4435643.552328721;4762697.896220619;5111368.565620884;5482999.557220627;5417009.677800804
Tschechien;Wind;1186892.5567448032;1329345.614664276;1411150.3018048075;1494182.0199900977;1577213.7381753884;1660245.456360679;1734215.6334044363;1808185.810448194;1882155.9874919518;1956126.1645357092;2030096.3415794668;2083182.1941897343;2136268.046800002;2189353.8994102697;2242439.7520205374;2295525.604630805;2348611.4572410723;2401697.3098513405;2454783.1624616077;2507869.015071876;2560954.867682143
Dänemark;Biomass;900522.3436349679;1008604.7145678859;1125244.016735008;1146741.2341759375;1210465.662467599;1274190.09075926;1330960.0498275221;1387730.0088957844;1444499.9679640466;1501269.9270323087;1558039.886100571;1598781.7336968787;1639523.5812931869;1680265.428889495;1721007.276485803;1761749.1240821108;1802490.971678419;1843232.8192747273;1883974.6668710352;1924716.5144673432;1965458.3620636512
Dänemark;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dänemark;Hydro;4851.948128397983;5434.287990442938;6062.731968371396;6740.434624116591;6808.001469003337;7166.405688860867;7485.696005567668;7804.98632227447;8124.276638981271;8443.566955688073;8762.857272394875;8992.000953943132;9221.144635491388;9450.288317039647;9679.431998587903;9908.57568013616;10137.719361684416;10366.863043232674;10596.006724780931;10825.150406329189;11054.294087877444
Dänemark;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dänemark;Solar;85678.58110986717;95961.88418388451;107059.3211125289;119026.597023578;131922.9522229507;145811.37644970173;159923.21254573332;175081.7038102438;191356.236169841;208820.51750587233;227552.83638508213;245178.3728930129;263997.580960774;284085.76390307874;305522.77118721185;328393.2647900007;352787.0008251004;378799.12730173505;406530.49892397044;436088.009890175;467584.94570569013
Dänemark;Wind;4637257.16870483;4856534.682814268;5160156.982896508;5463779.282978747;5767401.583060986;6071023.883143225;6341510.8221392045;6611997.761135186;6882484.700131167;7152971.639127147;7423458.578123128;7617577.7535855435;7811696.929047958;8005816.104510373;8199935.27997279;8394054.455435203;8588173.630897619;8782292.806360034;8976411.98182245;9170531.157284865;9364650.33274728
Estland;Biomass;0.0;0.0;0.0;0.0;0.0;11344.15602683801;12442.059869435432;13621.393706225503;14887.55577702099;16246.28057063046;17703.65895415833;19074.929434357582;20539.067815191356;22101.93271052262;23769.73642584903;25549.065680931773;27446.903520458163;29470.652479734865;31628.159076138098;33927.73970098231;36378.207990620605
Estland;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Estland;Hydro;66874.25118266042;69266.32728614964;73596.74042687964;77927.15356760962;82257.56670833963;86587.97984906963;90445.79989294245;94303.61993681526;98161.43998068807;102019.26002456088;105877.0800684337;108645.70486332664;111414.3296582196;114182.95445311256;116951.5792480055;119720.20404289845;122488.8288377914;125257.45363268437;128026.07842757732;130794.70322247024;133563.3280173632
Estland;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Estland;Solar;0.0;0.0;0.0;0.0;0.0;1040.3193363673722;1141.002947754944;1249.1541219403543;1365.2679061749184;1489.8701835280883;1623.5195188511377;1749.2723022724954;1883.541565238861;2026.8645737461818;2179.811029191138;2342.984968746224;2517.026774683841;2702.6152987933533;2900.470108377108;3111.353860672254;3336.0748129259728
Estland;Wind;1668719.9724553155;1734435.1158449028;1842869.0535412093;1951302.9912375156;2059736.928933822;2168170.8666301286;2264771.030329602;2361371.194029075;2457971.357728548;2554571.521428021;2651171.685127494;2720498.30103169;2789824.916935886;2859151.532840082;2928478.1487442777;2997804.764648474;3067131.38055267;3136457.996456866;3205784.612361062;3275111.228265258;3344437.8441694537
Finnland;Biomass;3395617.1345676277;3803165.4350385354;4242979.522720115;4717267.105582257;4807799.852340174;5060904.344628332;5286386.660474738;5511868.976321145;5737351.292167551;5962833.608013958;6188315.923860364;6350136.828765908;6511957.733671452;6673778.638576996;6835599.54348254;6997420.448388084;7159241.3532936275;7321062.258199171;7482883.163104715;7644704.068010259;7806524.972915803
Finnland;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Finnland;Hydro;7245993.483455462;7450508.519501771;7916301.658275894;8382094.797050017;8847887.935824137;9313681.07459826;9728640.582770804;10143600.090943348;10558559.599115891;10973519.107288435;11388478.615460979;11686280.786152631;11984082.956844281;12281885.127535935;12579687.298227588;12877489.468919238;13175291.63961089;13473093.810302543;13770895.980994195;14068698.151685847;14366500.3223775
Finnland;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
