Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Deutschland;Biomass;1565387.386;1753268.099;1956023.415;2174671.093;2410293.479;2664041.427;2921871.213;3198823.873;3496167.122;3815247.637;4157495.784;4479522.505;4823358.159;5190378.571;5582042.63;5999897.148;6445582.011;6920835.617;7427500.629;7967530.054;8542993.669
Deutschland;Geothermal;0;0;0;0;0;28879.20486;31674.17612;34676.44648;37899.75845;41358.71049;45068.80834;48559.69836;52287.00537;56265.64383;60511.42863;65041.12779;69872.5183;75024.44504;80516.88316;86371.00398;92609.24467
Deutschland;Hydro;17884070.93;20030550.47;22346967.79;24844950.47;27536863.99;30435856.49;33381482.74;36545581.98;39942637.43;43588034.47;47498114.63;51177171.18;50019874.67;51262858.99;52505843.32;53748827.64;54991811.96;56234796.29;57477780.61;58720764.94;59963749.26
Deutschland;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deutschland;Solar;12770.43095;14303.16188;15957.23984;17740.96768;19663.17521;21733.25107;23836.62657;26096.00649;28521.73284;31124.79181;33916.85234;36543.94646;39348.95787;42343.11055;45538.3061;48947.16343;52583.06073;56460.17985;60593.55323;64999.1135;69693.74591
Deutschland;Wind;85228.50658;95457.79087;106496.9323;118401.3434;131229.9533;145045.4209;159083.1267;174161.9895;190351.0308;207723.5713;226357.4882;243890.4368;262610.7864;282593.445;303917.8424;326668.196;350933.7904;376809.2736;404394.9708;433797.2144;465128.695
Griechenland;Biomass;0;0;0;0;0;155724.5563;170795.8043;186984.8657;204365.8438;223017.4574;243023.3179;261847.1499;281945.8067;303399.7115;326294.1421;350719.5166;376771.6931;404552.2885;434169.0142;465736.0318;499374.3286
Griechenland;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Griechenland;Hydro;0;0;0;0;0;828795.2983;909007.3071;995168.5285;1087673.354;1186940.74;1293415.682;1393599.647;1500568.469;1614750.174;1736598.628;1866595.052;2005249.623;2153103.162;2310728.932;2478734.52;2657763.845
Griechenland;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Griechenland;Solar;0;0;0;0;0;485960.8689;532992.8652;583513.1591;637753.0002;695958.0425;758389.2065;817131.6808;879852.4295;946802.4239;1018247.787;1094470.68;1175770.242;1262463.585;1354886.836;1453396.253;1558369.395
Griechenland;Wind;0;0;0;0;0;1089404.443;1194838.582;1308092.624;1429684.973;1560166.326;1700121.602;1831807.745;1972412.199;2122497.578;2282660.465;2453533.396;2635786.97;2830132.067;3037322.207;3258156.03;3493479.931
Island;Biomass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Island;Geothermal;0;0;0;0;0;771.9146327;846.6216483;926.8695789;1013.025748;1105.480361;1204.64787;1297.956156;1397.58365;1503.929004;1617.414933;1738.489633;1867.628266;2005.334538;2152.142366;2308.617641;2475.360088
Island;Hydro;0;0;0;0;0;2110.498336;2314.75542;2534.161967;2769.72228;3022.503219;3293.637947;3548.752921;3821.145297;4111.905029;4422.18787;4753.219233;5106.298263;5482.802147;5884.190675;6312.011049;6767.902985
Island;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Island;Solar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Island;Wind;0;0;0;0;0;1.576199723;1.728746614;1.892607695;2.068533017;2.257319353;2.459812989;2.650342469;2.853775365;3.070925694;3.302656618;3.549883319;3.81357605;4.094763345;4.39453543;4.714047814;5.054525099
Irland;Biomass;0;0;0;0;0;51327.98478;56295.58145;61631.61782;67360.51889;73508.23101;80102.31304;86306.78962;92931.45807;100002.8264;107549.0029;115599.79;124186.7833;133343.4764;143105.3719;153510.0983;164597.5339
Irland;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Irland;Hydro;939463.7173;1052219.904;1173903.051;1305123.963;1446532.208;1598818.467;1652576.404;1723064.391;1793552.378;1864040.365;1934528.352;1985115.157;2035701.961;2086288.766;2136875.571;2187462.375;2238049.18;2288635.985;2339222.789;2389809.594;2440396.398
Irland;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Irland;Solar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Irland;Wind;1568559.874;1756821.355;1959987.584;2179078.383;2415178.293;2669440.498;2927792.814;3205306.76;3503252.618;3822979.796;4165921.56;4488600.915;4833133.402;5200897.635;5593355.459;6012056.82;6458644.929;6934861.707;7442553.55;7983677.423;8560307.3
Italien;Biomass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
