Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Griechenland;Solar;0;0;0;0;0;523867.8657;586277.8086;653619.0761;726228.7759;804465.398;888710.1103;976210.3547;1070238.848;1171229.665;1279643.967;1395971.624;1520732.938;1654480.453;1797800.888;1951317.165;2115690.568
Griechenland;Wind;0;0;0;0;0;1174382.583;1314290.286;1465252.804;1628025.847;1803413.063;1992268.935;2188422.908;2399211.605;2625608.115;2868646.247;3129424.172;3409108.274;3708937.225;4030226.301;4374371.941;4742856.58
Island;Biomass;0;0;0;0;0;8208.120965;8863.676226;9564.266711;10312.75705;11112.18576;11965.77545;12896.49861;13890.37964;14951.40753;16083.81226;17292.07895;18580.96277;19955.50478;21421.04858;22983.258;24648.13574
Island;Geothermal;0;0;0;0;0;832.1272288;931.26103;1038.227893;1153.56329;1277.836657;1411.653453;1550.641432;1699.999075;1860.415879;2032.624365;2217.402661;2415.577225;2628.025739;2855.680161;3099.529961;3360.625541
Island;Hydro;0;0;0;0;0;2275.126105;2546.168671;2838.627678;3153.967164;3493.744029;3859.613663;4239.621874;4647.981871;5086.578813;5557.415495;6062.619398;6604.450153;7185.307434;7807.739318;8474.451122;9188.314759
Island;Other RES;0;0;0;0;0;291.844301;383.045645;482.6375127;591.2309531;709.4771437;838.069876;1129.299158;1447.556193;1794.815684;2173.182234;2584.8984;3032.353226;3518.091289;4044.822275;4615.431132;5232.988819
Island;Solar;0;0;0;0;0;10360.47268;12104.24238;13996.48787;16047.6973;18269.03645;20672.39027;22449.09841;24351.79639;26388.64141;28568.29145;30899.93489;33393.32194;36058.79787;38907.33808;41950.58531;45200.88893
Island;Wind;0;0;0;0;0;1.699149948;1.901574754;2.119994166;2.355501582;2.609259755;2.882504991;3.166309449;3.47128809;3.798848821;4.150487406;4.527792727;4.932452361;5.366258478;5.831114074;6.329039585;6.862179861
Irland;Biomass;0;0;0;0;0;55331.78401;61923.62464;69036.31988;76705.47557;84968.95604;93867.02086;103108.9403;113040.3842;123707.2001;135158.0966;147444.8147;160622.3095;174748.9416;189886.6813;206101.3225;223462.7111
Irland;Geothermal;0;0;0;0;0;7637.155937;8706.357768;9863.386893;11114.35303;12465.75732;13924.51616;15790.40133;17808.06372;19988.01634;22341.44408;24880.24454;27617.07144;30565.38042;33739.47761;37154.57108;40826.8252
Irland;Hydro;955749.907;1086420.903;1227769.624;1380537.164;1545512.035;1723533.049;1817789.572;1930081.161;2042372.749;2154664.337;2266955.925;2371576.108;2476196.291;2580816.474;2685436.656;2790056.839;2894677.022;2999297.204;3103917.387;3208537.57;3313157.753
Irland;Other RES;0;0;0;0;0;8728.178214;11455.73391;14434.22472;17681.92528;21218.31034;25064.12909;33773.91395;43292.01697;53677.49551;64993.29186;77306.4741;90688.49134;105215.4441;120968.371;138033.5519;156502.8299
Irland;Solar;0;0;0;0;0;309850.3266;362001.1914;418592.5169;479937.972;546371.4912;618248.5175;671384.4712;728288.3989;789204.2583;854390.9825;924123.3686;998693.0158;1078409.319;1163600.521;1254614.819;1351821.545
